seed,method_id,method_name,parent_id,scan_id,crystal_system,label_index,embedding_cosine_distance,prediction_js_divergence,prediction_flip,sim_prediction_index,real_prediction_index,sim_correct,real_correct,sim_true_probability,real_true_probability,true_probability_drop,sim_true_margin,real_true_margin,true_margin_drop,checkpoint_sha256
20260711,ordinary_dynamic_augmentation,Dynamic ERM,cnrs_parent_0087,pattern_24,triclinic,0,0.0688543614842081,0.009192895343275668,0,1,1,0,0,0.0364990234375,0.1044921875,-0.0679931640625,-0.9268798828125,-0.791015625,-0.1358642578125,E8BDE2871520AEDE1502E99B1BA5B761358C63B0A98EBAC36DB384B276F3D40B
20260711,ordinary_dynamic_augmentation,Dynamic ERM,cnrs_parent_0189,pattern_55,triclinic,0,0.08095527190235885,0.18750025439779172,1,4,1,0,0,0.0005793571472167969,0.004261016845703125,-0.003681659698486328,-0.6961979866027832,-0.8521842956542969,0.15598630905151367,E8BDE2871520AEDE1502E99B1BA5B761358C63B0A98EBAC36DB384B276F3D40B
20260711,ordinary_dynamic_augmentation,Dynamic ERM,cnrs_parent_0260,pattern_78,triclinic,0,0.19195102929093466,0.6153577518439513,1,1,0,0,1,0.01406097412109375,0.98388671875,-0.9698257446289062,-0.9717788696289062,0.967987060546875,-1.9397659301757812,E8BDE2871520AEDE1502E99B1BA5B761358C63B0A98EBAC36DB384B276F3D40B
20260711,ordinary_dynamic_augmentation,Dynamic ERM,cnrs_parent_0322,pattern_99,triclinic,0,0.34219635321467035,0.0014022266134171464,0,0,0,1,1,0.99609375,1.0,-0.00390625,0.9935417175292969,0.999988853931427,-0.006447136402130127,E8BDE2871520AEDE1502E99B1BA5B761358C63B0A98EBAC36DB384B276F3D40B
20260711,ordinary_dynamic_augmentation,Dynamic ERM,cnrs_parent_0036,pattern_120,triclinic,0,0.085393381872506,1.6742327875590945e-05,0,0,0,1,1,1.0,1.0,0.0,0.9999434947967529,0.9999980330467224,-5.453824996948242e-05,E8BDE2871520AEDE1502E99B1BA5B761358C63B0A98EBAC36DB384B276F3D40B
20260711,ordinary_dynamic_augmentation,Dynamic ERM,cnrs_parent_0053,pattern_157,triclinic,0,0.03330383733749509,0.17859829853904147,1,1,0,0,1,0.1199951171875,0.68408203125,-0.5640869140625,-0.7598876953125,0.368408203125,-1.1282958984375,E8BDE2871520AEDE1502E99B1BA5B761358C63B0A98EBAC36DB384B276F3D40B
20260711,ordinary_dynamic_augmentation,Dynamic ERM,cnrs_parent_0063,pattern_180,triclinic,0,0.047825873571795796,0.0001325425397773606,0,1,1,0,0,0.0001786947250366211,2.5093555450439453e-05,0.00015360116958618164,-0.9988447427749634,-0.9999749064445496,0.0011301636695861816,E8BDE2871520AEDE1502E99B1BA5B761358C63B0A98EBAC36DB384B276F3D40B
20260711,ordinary_dynamic_augmentation,Dynamic ERM,cnrs_parent_0088,pattern_240,triclinic,0,0.11652421555644144,0.13666824768108388,0,0,0,1,1,0.98095703125,0.5908203125,0.39013671875,0.9650421142578125,0.1865234375,0.7785186767578125,E8BDE2871520AEDE1502E99B1BA5B761358C63B0A98EBAC36DB384B276F3D40B
20260711,ordinary_dynamic_augmentation,Dynamic ERM,cnrs_parent_0109,pattern_298,triclinic,0,0.17122506670824034,0.08376217295137212,0,0,0,1,1,0.77734375,1.0,-0.22265625,0.58544921875,0.9999362230300903,-0.41448700428009033,E8BDE2871520AEDE1502E99B1BA5B761358C63B0A98EBAC36DB384B276F3D40B
20260711,ordinary_dynamic_augmentation,Dynamic ERM,cnrs_parent_0113,pattern_311,triclinic,0,0.10344987468727973,0.4459067770054689,1,1,0,0,1,0.06951904296875,0.9345703125,-0.86505126953125,-0.86114501953125,0.86895751953125,-1.7301025390625,E8BDE2871520AEDE1502E99B1BA5B761358C63B0A98EBAC36DB384B276F3D40B
20260711,ordinary_dynamic_augmentation,Dynamic ERM,cnrs_parent_0124,pattern_348,triclinic,0,0.01641808308568027,0.0018111312765208701,0,1,1,0,0,0.1656494140625,0.12335205078125,0.04229736328125,-0.6688232421875,-0.75311279296875,0.08428955078125,E8BDE2871520AEDE1502E99B1BA5B761358C63B0A98EBAC36DB384B276F3D40B
20260711,ordinary_dynamic_augmentation,Dynamic ERM,cnrs_parent_0147,pattern_417,triclinic,0,0.13353852813353662,0.004498661895196694,0,0,0,1,1,0.99853515625,0.98583984375,0.0126953125,0.9973974227905273,0.97210693359375,0.025290489196777344,E8BDE2871520AEDE1502E99B1BA5B761358C63B0A98EBAC36DB384B276F3D40B
20260711,ordinary_dynamic_augmentation,Dynamic ERM,cnrs_parent_0148,pattern_423,triclinic,0,0.06485323240378282,0.00488378546237486,0,0,0,1,1,0.9580078125,0.9091796875,0.048828125,0.915924072265625,0.81842041015625,0.097503662109375,E8BDE2871520AEDE1502E99B1BA5B761358C63B0A98EBAC36DB384B276F3D40B
